date,category,amount
2025-01-03,Продукты,1500
2025-01-05,Фитнесс,2500
2025-01-06,Путешествия,12000
2025-01-07,Продукты,2000
2025-01-10,Развлечения,3500
2025-01-12,Фитнесс,1500
2025-01-15,Продукты,1700
2025-01-20,Путешествия,8000
2025-01-20, Фитнесс,100
2025-01-20, Продукты,2400
2025-01-21,Продукты,2100
2025-01-25,Прочее,900
2025-02-01,Продукты,1600
2025-02-05,Путешествия,15000
2025-02-07,Фитнесс,2200
2025-02-10,Развлечения,5000
2025-02-12,Прочее,1200
2025-02-18,Продукты,1800
2025-02-20,Путешествия,7000
2025-02-22,Фитнесс,2400
2025-02-25,Продукты,2300
2025-02-28,Развлечения,4500
